17:35:30.030 > ets Jul 29 2019 12:21:46
17:35:30.030 > 
17:35:30.030 > rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)
17:35:30.030 > configsip: 0, SPIWP:0xee
17:35:30.030 > clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00
17:35:30.030 > mode:DIO, clock div:2
17:35:30.030 > load:0x3fff0030,len:1184
17:35:30.030 > load:0x40078000,len:12776
17:35:30.030 > load:0x40080400,len:3032
17:35:30.030 > entry 0x400805e4
17:35:34.572 > 204970,1
17:35:34.589 > 204970,1
17:35:34.590 > 205000,0
17:35:34.604 > 205000,0
17:35:34.604 > 205000,0
17:35:34.619 > 205000,0
17:35:34.636 > 205000,0
17:35:34.637 > 205000,0
17:35:34.652 > 205000,0
17:35:34.667 > 205000,0
17:35:34.668 > 205000,0
17:35:34.683 > 205000,0
17:35:34.683 > 204946,1
17:35:34.700 > 204946,1
17:35:34.716 > 204946,1
17:35:34.717 > 204946,1
17:35:34.732 > 204946,1
17:35:34.748 > 204946,1
17:35:34.748 > 204946,1
17:35:34.764 > 204946,1
17:35:34.764 > 204946,1
17:35:34.781 > 204978,0
17:35:34.796 > 204978,0
17:35:34.796 > 204978,0
17:35:34.812 > 204978,0
17:35:34.828 > 204978,0
17:35:34.829 > 204978,0
17:35:34.844 > 204978,0
17:35:34.844 > 204978,0
17:35:34.861 > 204978,0
17:35:34.876 > 204978,0
17:35:34.876 > 204967,1
17:35:34.891 > 204967,1
17:35:34.908 > 204967,1
17:35:34.908 > 204967,1
17:35:34.924 > 204967,1
17:35:34.924 > 204967,1
17:35:34.940 > 204967,1
17:35:34.955 > 204967,1
17:35:34.956 > 204967,1
17:35:34.972 > 204967,1
17:35:34.988 > 204978,0
17:35:34.989 > 204978,0
17:35:35.004 > 204978,0
17:35:35.004 > 204978,0
17:35:35.020 > 204978,0
17:35:35.036 > 204978,0
17:35:35.037 > 204978,0
17:35:35.052 > 204978,0
17:35:35.068 > 204978,0
17:35:35.068 > 204978,0
17:35:35.083 > 204955,1
17:35:35.084 > 204955,1
17:35:35.100 > 204955,1
17:35:35.116 > 204955,1
17:35:35.116 > 204955,1
17:35:35.132 > 204955,1
17:35:35.148 > 204955,1
17:35:35.148 > 204955,1
17:35:35.164 > 204955,1
17:35:35.164 > 204955,1
17:35:35.180 > 204974,0
17:35:35.196 > 204974,0
17:35:35.196 > 204974,0
17:35:35.211 > 204974,0
17:35:35.228 > 204974,0
17:35:35.228 > 204974,0
17:35:35.244 > 204974,0
17:35:35.244 > 204974,0
17:35:35.260 > 204974,0
17:35:35.276 > 204974,0
17:35:35.276 > 204974,0
17:35:35.292 > 204974,0
17:35:35.308 > 245993,0
17:35:35.308 > 245993,0
17:35:35.323 > 245993,0
17:35:35.324 > 245993,0
17:35:35.340 > 245993,0
17:35:35.356 > 245993,0
17:35:35.356 > 245993,0
17:35:35.371 > 245993,0
17:35:35.388 > 245993,0
17:35:35.389 > 245993,0
17:35:35.404 > 204970,1
17:35:35.404 > 204970,1
17:35:35.420 > 204970,1
17:35:35.435 > 204970,1
17:35:35.436 > 204970,1
17:35:35.452 > 204970,1
17:35:35.468 > 204970,1
17:35:35.469 > 204970,1
17:35:35.483 > 204970,1
17:35:35.484 > 204970,1
17:35:35.500 > 204966,2
17:35:35.515 > 204966,2
17:35:35.516 > 204966,2
17:35:35.532 > 204966,2
17:35:35.548 > 204966,2
17:35:35.548 > 204966,2
17:35:35.564 > 204966,2
17:35:35.564 > 204966,2
17:35:35.580 > 204966,2
17:35:35.596 > 204980,0
17:35:35.596 > 204980,0
17:35:35.612 > 204980,0
17:35:35.627 > 204980,0
17:35:35.627 > 204980,0
17:35:35.643 > 204980,0
17:35:35.643 > 204980,0
17:35:35.659 > 204980,0
17:35:35.675 > 204980,0
17:35:35.675 > 204980,0
17:35:35.692 > 204966,1
17:35:35.708 > 204966,1
17:35:35.708 > 204966,1
17:35:35.723 > 204966,1
17:35:35.724 > 204966,1
17:35:35.740 > 204966,1
17:35:35.755 > 204966,1
17:35:35.756 > 204966,1
17:35:35.771 > 204966,1
17:35:35.787 > 204966,1
17:35:35.788 > 204976,0
17:35:35.803 > 204976,0
17:35:35.804 > 204976,0
17:35:35.819 > 204976,0
17:35:35.835 > 204976,0
17:35:35.835 > 204976,0
17:35:35.851 > 204976,0
17:35:35.867 > 204976,0
17:35:35.868 > 204976,0
17:35:35.884 > 204976,0
17:35:35.884 > 204975,1
17:35:35.899 > 204975,1
17:35:35.915 > 204975,1
17:35:35.916 > 204975,1
17:35:35.931 > 204975,1
17:35:35.947 > 204975,1
17:35:35.947 > 204975,1
17:35:35.963 > 204975,1
17:35:35.964 > 204975,1
17:35:35.980 > 204975,1
17:35:35.995 > 204987,0
17:35:35.995 > 204987,0
17:35:36.011 > 204987,0
17:35:36.027 > 204987,0
